Job Title,Job Rating,Time,Job Status,Pros,Cons,Company_Name
Credit administrator,5.0,2022-06-30,"Former employee, more than 5 years",Good culture environment and teamwork, Non applicable Non applicable,Equity
Sr. acct manager,1.0,2024-12-20,"Former employee, more than 5 years",Dont chose to work for this toddler ran company.,Low pay and long hours expected,Equity
Anonymous employee,4.0,2023-07-28,Current employee,Big ambition to grow horizontally and leadership,Bureaucracy due to the age of the org and historical ways of working,Equity
Bank teller,2.0,2021-03-01,"Former employee, more than 1 year",Nice coworkers and good work hours,You can tell the upper management doesn't care about lowerlevel employees,Equity
Relationship officer,4.0,2020-12-03,"Former employee, less than 1 year",Worked hand in hand with customers,"Other than client relations, tasks within the bank for this role were the same every day all day and not mindengaging.",Equity
Mortgage banker,4.0,2020-11-08,Current employee,Provides unsecured loans to small and medium suzed businessesExcrllent online banking platforms,Not a very good employer but pays well if you get the chance.,Equity
R/o,3.0,2013-06-21,"Former employee, less than 1 year",Good personal image among the clients,Long working hours that isnt reflected on the salary,Equity
Manager,5.0,2014-01-08,"Former employee, more than 1 year",Growing company that works with people,So much growth its hard to keep up,Equity
Associate director,4.0,2015-05-19,"Current employee, more than 3 years",The work is ok but want more,Need more to be completely fulfilling,Equity
Commercial loan assistant,4.0,2021-03-25,Current employee,"Great people, great customers. Plenty of growth opportunities.",Processes could use some improvement.,Equity
Teller,3.0,2021-04-04,"Current employee, more than 1 year","Flexible and helpful, fun activites through the year","Customers, lack of staffing at times",Equity
Banker,1.0,2019-10-14,"Former employee, more than 5 years",Free coffee  and friendly coworkers in the beginning,There was a constant mergers and acquisitions mindset of executive management without regards to employees who actually had to do the work. Very hostile work environment.,Equity
Administrative assistant,4.0,2022-06-09,Current employee,Nice people and great place to work..,Pay is average..but not the worst,Equity
Recruiter,3.0,2020-08-21,Current employee,Great place to work mostly,Some managers suck but others are great,Equity
Credit analyst,2.0,2022-04-25,Former employee,The experience gained is good,The growth trajectory is not clear.,Equity
Post doctoral fellow,5.0,2021-02-13,Former employee,Yes this was really good,Nothing specific to note here,Equity
Customer service manager (csm),1.0,2021-04-02,"Former employee, more than 3 years",None that I ever found.,Everything from Branch Mangers to Vice Presidents telling anything but the truth. Human Resources was an absolute joke.,Equity
Relationship banker,2.0,2025-08-19,"Former employee, more than 5 years",Most aspects were manageable but the hr strategies in place are questionable,"It was good working at the company for a while but things shifted so fast. Dismissals nowadays comes with no notice or warning, treating staff like assets or items that you'd dispose anyhow is their thing nowodays, no matter how loyal you are. Tell me why they would expire a contract for a committed employee who've been there for more than five years, then bring some new staff and even before probation ends , they're confirmed as permanent staff..these are guys who have not even mastered the basic roles..but for you, you got to wait for 5 years and more been on contract only for them to end the contract without at least issuing a notice prior, mind you the performance is good and no disciplinary cases whatsoever,",Equity
System engineer,3.0,2025-08-14,Former employee,Good employer with good experience,Long and late working hours,Equity
Noc engineer,3.0,2025-08-08,"Former employee, more than 3 years",A very nice and conducive work environmentFriendly and helpful colleagues,"No salary growth not unless you move departmentsBonus allocation is the sole decision of the management, not guaranteed yearly",Equity
Senior software engineer,4.0,2025-08-04,"Current employee, less than 1 year",Friendly staff and good offices,Strict dress code is quite annoying,Equity
Credit officer,2.0,2025-08-05,"Current employee, more than 5 years",Opportunity to learn and grow,No work life balance. Too much pressure,Equity
Relationship manager,1.0,2025-08-12,"Current employee, more than 10 years",the institution is okay to client,Unable to handle HR issues,Equity
Senior operations manager,3.0,2025-06-30,"Current employee, more than 8 years",Exposure to a variety of roles and tasks.  Great for experience garnering in a short period of time.,"Slow and unclear growth path.  Demand for many long hours, poor work life balance.",Equity
Digital banking project manager,5.0,2025-07-15,"Former employee, more than 1 year",opportunity to lead impactful projects across E.Africacompetitive compensation and benefits,long working hours during system upgrades and product launches,Equity
Finance assistant,5.0,2025-07-14,"Current employee, more than 1 year",Strong corporate social responsibility.Massive exposure to all areas of banking.Highly ambitious leadership.,Extremely highpressure work environment.Limited internal mobility.,Equity
Relationship supervisor,3.0,2025-07-17,"Current employee, more than 5 years",Pay on time each month,No bonusRare salary increment Easy to get stuck,Equity
Senior officer,1.0,2025-07-30,"Former employee, more than 1 year",Limited personal growthLow morale,"Poor pay, work overload, poor remuneration",Equity
Senior payment officer/project coordinator/business analyst,3.0,2025-07-03,"Former employee, more than 8 years",Well structured in terms of department. Good team spirit,"Bad salary, increase not common and less benefits",Equity
